Employee Identifier,Salaries,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
34827,127412.48,600,128012.48,24496.28,12640.51,9754.52,46891.31,174903.79
39494,130201.68,144,130345.68,24900.48,12918.24,9786.95,47605.67,177951.35
53521,40107.9,675,40782.9,8491.02,4306.08,3192.61,15989.71,56772.61
55880,130201.68,624,130825.68,24994.48,12918.24,9763.63,47676.35,178502.03
56194,40052.69,750,40802.69,8699.15,4384.48,3417.4,16501.03,57303.72
6601,130136.84,600,130736.84,24978.75,12918.24,9787.85,47684.84,178421.68
9183,4373.35,0,4373.35,0,0,347.68,347.68,4721.03
9567,50946,0,50946,10606.95,5262.99,3496.61,19366.55,70312.55
19507,131801.01,648,132449.01,25142.44,10544.22,9898.69,45585.35,178034.36
45090,68306.13,240,68546.13,12139.56,5262.99,5390.18,22792.73,91338.86
52473,160173.14,648,160821.14,30736.67,12918.24,10344.58,53999.49,214820.63
52549,160143.08,2240,162383.08,31042.01,12918.24,10373.86,54334.11,216717.19
109,34550.88,1574.88,36125.76,7120.82,5852.09,2164.96,15137.87,51263.63
13707,56046.52,401.44,56447.96,11089.66,9492.94,4487.61,25070.21,81518.17
16731,74786.6,0,74786.6,14698.19,12667.06,5945.54,33310.79,108097.39
17217,41436.31,1860.56,43296.87,8535.33,7018.32,3442.1,18995.75,62292.62
17767,76269.6,0,76587.41,14986.92,12918.24,6088.7,33993.86,110581.27
17881,76234.35,0,76234.35,14980.49,12912.27,6060.63,33953.39,110187.74
20127,66576.33,621.46,67197.79,13230.04,11276.43,5342.22,29848.69,97046.48
20183,53971.34,1862.45,55833.79,11041.62,0,4438.78,15480.4,71314.19
21952,76269.63,0,76322.6,14986.92,12918.24,6067.65,33972.81,110295.41
33247,62887.13,1540.14,64427.27,12628.58,10651.57,5074.27,28354.42,92781.69
36988,75845.92,0,75845.92,14900.97,12846.48,5882.89,33630.34,109476.26
44558,51785.68,536.51,52322.19,10472.71,8771.25,3968.52,23212.48,75534.67
54444,72517.91,181.42,72699.33,14263.11,12282.8,5770.06,32315.97,105015.3
5469,56036.97,2327.58,58364.55,11491.64,9491.32,4639.98,25622.94,83987.49
7275,73919.73,0,73919.73,14559,12520.23,5876.62,32955.85,106875.58
7847,71043.74,289.5,71333.24,13983.06,12033.11,5670.99,31687.16,103020.4
29189,107933.5,0,107933.5,21136.51,10047.52,7333.87,38517.9,146451.4
11715,117829.8,648,118477.8,22631.09,12918.24,9482.09,45031.42,163509.22
13120,117829.82,648,118477.82,22631.11,12918.24,9468.34,45017.69,163495.51
13432,117824.97,648,118472.97,22630.23,12918.24,9500.59,45049.06,163522.03
10936,55646.54,0,55646.54,4992.72,0,4529.21,9521.93,65168.47
